name,team,pos,targets,receptions,yards,rec_touchdowns,avg_cushion,avg_separation,avg_intended_air_yards,avg_yac,avg_expected_yac,avg_yac_above_expectation,catch_percentage,percent_share_of_intended_air_yards,catch_pct,ypr,ypt,td_rate,yac_oe,name_last,receiving_broken_tackles,receiving_drop,receiving_drop_pct,receiving_int,receiving_epa,air_yards_total,s_sep,s_yac_oe,s_ypt,s_catch,s_air,s_cushion,s_drop,s_btk,composite,rank
Dalton Schultz,HOU,TE,189,148,1379.0,6,5.452118055555555,3.8125816821434633,6.223125142938822,4.056395107433217,4.07256681547118,-0.016171708037962324,79.92086747982974,18.116198998823307,78.3068783068783,9.317567567567568,7.296296296296297,3.1746031746031744,-0.016171708037962324,SCHULTZ,,,,,,,66.55370846067783,20.533930623373006,38.76430669502685,87.79529649094864,15.809608942391332,33.242886538002615,50.0,50.0,46.80634973891296,34
JuJu Smith-Schuster,KC,WR,56,42,436.0,2,6.322338753387534,3.0743354805510736,5.94,5.996060606060606,4.947327279090923,1.0487333269696824,80.0,11.099280535440643,75.0,10.380952380952381,7.785714285714286,3.571428571428571,1.0487333269696824,SMITH-SCHUSTER,,,,,,,41.475085354627694,40.0462736000679,44.61323088943873,79.76588628762539,14.006803350162212,57.81405495836408,50.0,50.0,46.42020260852277,35
Parker Washington,JAX,WR,173,106,1550.0,9,6.271780619863229,2.461328885220932,11.973090666059088,5.273382471264368,3.3392784378585603,1.934104033405807,63.614642667274246,33.32943342520797,61.27167630057804,14.622641509433961,8.959537572254336,5.202312138728324,1.934104033405807,WASHINGTON,,,,,,,20.65091946979494,56.268994234848535,58.64132868938409,46.4322307498985,52.42264123124668,56.38651776355849,50.0,50.0,46.25719609073139,36
Chris Godwin Jr.,TB,WR,42,27,317.0,2,6.2846957671957675,2.733881492746933,7.890777777777777,6.727007936507937,4.208312405108971,2.5186955313989667,67.22222222222223,22.674358732916502,64.28571428571429,11.74074074074074,7.5476190476190474,4.761904761904762,2.5186955313989667,JR.,,,,,,,29.909679089515596,66.9805125722752,41.76780830837349,53.7505972288581,26.428423876227637,56.751184176426165,50.0,50.0,46.0723076704474,37
D.J. Moore,CHI,WR,85,50,667.0,6,6.812857142857143,3.271765191029652,11.408,4.7307999999999995,4.120880524416065,0.6099194755839346,58.82352941176471,21.65300439678715,58.82352941176471,13.34,7.847058823529411,7.0588235294117645,0.6099194755839346,MOORE,,,,,,,48.18187949505,32.00585113075197,45.34634564856025,40.487900845957114,48.82441395155949,71.66411620256277,50.0,50.0,46.04201634106579,38
Wan'Dale Robinson,NYG,WR,272,180,1954.0,8,7.044912674362675,3.4281039778196596,7.8249204906204906,4.518420923520924,4.124801435862584,0.3936194876583395,66.6014911014911,30.707922362976642,66.17647058823529,10.855555555555556,7.1838235294117645,2.941176470588235,0.3936194876583395,ROBINSON,,,,,,,53.49279271384704,28.042568573609326,37.420169982304685,58.34153059216995,26.009076147715053,78.21633400398288,50.0,50.0,45.87171554971396,39
T.J. Hockenson,MIN,TE,109,85,771.0,4,6.042598214285714,3.7435934805796602,5.082669191919192,6.041732843137255,6.224233963149527,-0.18250112001227242,79.6590909090909,12.161554443830765,77.98165137614679,9.070588235294117,7.073394495412844,3.669724770642202,-0.18250112001227242,HOCKENSON,,,,,,,64.21014190787882,17.48626305972831,36.10045746113253,87.00561504709886,8.54773052054647,49.91542428065448,50.0,50.0,45.84756414028417,40
Brock Bowers,LV,TE,165,123,1266.0,12,6.031350649350649,3.076143587460939,6.542780117815002,4.748762310606061,3.7389867975977498,1.0097755130083108,75.91451184474441,22.81080477642788,74.54545454545455,10.292682926829269,7.672727272727273,7.2727272727272725,1.0097755130083108,BOWERS,,,,,,,41.53650772514602,39.3324463547764,43.26294853733323,78.66220735785951,17.84501904517814,49.59784299003823,50.0,50.0,45.68573062423447,41
Ja'Marr Chase,CIN,WR,370,250,2824.0,16,5.81618489841398,3.041356307437242,8.762966393852365,5.194002250233427,3.7240175059680367,1.4699847442653906,66.85607682107884,36.930352345749334,67.56756756756756,11.296,7.632432432432433,4.324324324324325,1.4699847442653906,CHASE,,,,,,,40.354764991194756,47.764898137920405,42.78139397373673,61.71924432793996,31.982104125945376,43.52251759530807,50.0,50.0,45.59645264180041,42
Jaylen Waddle,MIA,WR,191,125,1779.0,12,6.1116151198574675,2.8570898277336445,11.759690192743763,4.409989583333333,4.015490928212561,0.3944986551207724,67.40022675736961,47.01832434995979,65.44502617801047,14.232,9.31413612565445,6.282722513089005,0.3944986551207724,WADDLE,,,,,,,34.09513292590628,28.058677631691502,62.87905615982666,56.56551506767757,51.06380901068216,51.86415523463044,50.0,50.0,45.59237992001459,43
